mq2,mq3,mq4,mq6,mq7,mq8,mq9,mq135,presence
195,276,397,443,519,483,574,563,0
194,276,396,443,519,483,574,563,0
195,276,397,443,518,483,574,563,0
195,276,397,443,518,483,574,563,0
194,276,397,443,519,483,574,563,0
194,276,396,442,518,482,574,563,0
194,276,396,443,518,483,574,563,0
194,276,396,442,518,482,573,562,0
194,276,397,443,518,482,574,563,0
194,276,397,443,519,482,574,563,0
194,276,396,442,518,483,574,562,0
194,276,397,442,518,483,574,562,0
194,276,397,442,518,483,573,562,0
194,276,396,443,518,483,573,562,0
194,276,396,442,518,483,574,562,0
194,276,396,443,519,483,574,563,0
193,276,396,442,518,482,574,562,0
194,276,396,442,518,482,573,562,0
194,276,396,442,518,483,573,562,0
194,276,396,442,518,483,573,562,0
194,276,396,442,518,483,573,562,0
194,276,396,443,518,482,573,562,0
194,276,397,442,518,483,573,562,0
194,276,396,443,518,482,573,562,0
194,276,396,442,518,482,573,562,0
193,276,396,442,517,482,573,562,0
193,276,396,442,518,482,573,562,0
193,276,396,442,518,482,573,561,0
193,276,396,442,518,482,573,562,0
193,276,396,442,518,482,573,562,0
194,276,396,442,518,483,573,561,0
193,276,396,442,517,482,573,561,0
194,276,396,442,518,482,573,561,0
193,276,396,442,518,482,573,561,0
193,276,396,442,517,482,573,561,0
193,276,396,442,517,482,573,561,0
193,276,396,442,517,482,573,561,0
193,276,396,442,517,482,573,561,0
193,276,396,442,517,482,573,561,0
193,276,396,442,517,482,573,561,0
193,276,396,442,517,482,573,561,0
193,276,396,442,517,483,573,561,0
192,276,396,442,517,483,573,561,0
192,276,396,442,517,482,572,561,0
192,276,396,442,517,482,573,561,0
192,276,396,442,517,482,573,561,0
193,275,396,442,517,482,573,561,0
193,275,396,441,517,482,573,561,0
192,275,396,441,517,482,573,561,0
192,276,396,442,517,482,572,561,0
192,276,396,441,517,482,573,561,0
192,276,396,441,517,482,572,561,0
192,275,395,442,517,482,573,561,0
192,276,395,441,517,482,572,561,0
192,275,396,442,517,482,572,560,0
192,276,396,442,517,482,573,561,0
192,276,396,441,517,482,572,561,0
192,275,396,441,517,482,572,560,0
192,275,395,441,517,482,572,561,0
192,275,396,441,517,482,572,561,0
192,275,395,441,517,482,572,560,0
192,275,395,441,517,482,572,560,0
191,276,395,441,517,482,572,561,0
192,275,395,441,517,482,572,560,0
191,275,396,441,517,482,572,560,0
191,275,395,441,516,482,572,560,0
192,275,395,441,516,482,572,560,0
192,275,395,441,517,482,572,560,0
191,275,395,441,517,482,572,560,0
191,275,395,441,516,482,572,560,0
191,275,395,441,517,482,572,560,0
