counter,mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135
199,386,386,387,385,384,380,380,377,378
200,385,384,382,379,373,372,374,374,377
201,386,386,386,383,380,375,375,373,376
202,386,386,387,386,384,381,380,377,378
203,385,384,382,378,372,372,374,374,377
204,386,386,386,384,381,376,375,374,376
205,388,387,389,387,387,383,382,379,379
206,387,386,383,380,375,375,377,376,379
207,387,387,386,384,380,376,376,374,377
208,387,387,389,387,386,382,381,378,379
209,386,385,382,379,373,373,375,374,377
210,386,386,385,383,379,375,375,373,376
211,387,387,388,387,386,382,381,378,378
212,386,385,383,379,373,374,376,375,378
213,386,386,385,383,379,375,374,373,376
214,387,387,388,387,386,381,380,378,378
215,385,384,382,379,373,373,375,374,377
216,386,385,385,382,379,375,375,373,376
217,387,387,388,387,387,383,382,379,379
218,386,385,382,379,372,373,375,375,378
219,386,386,385,382,378,374,374,372,376
220,387,387,388,387,387,382,381,378,378
221,386,385,383,379,374,374,376,375,378
222,386,385,384,381,377,374,374,373,376
223,387,387,388,387,386,382,381,378,378
224,386,385,382,379,373,373,375,375,378
225,386,385,384,381,376,373,373,372,376
226,386,387,388,387,386,382,380,377,378
227,386,385,383,380,374,374,376,375,378
228,386,385,384,381,376,373,373,372,376
229,386,386,388,387,386,381,380,377,378
230,386,384,383,380,374,374,376,376,378
231,386,385,383,380,375,372,373,372,376
232,386,386,388,386,386,381,380,377,378
233,386,385,383,380,374,374,376,375,378
234,385,385,383,380,375,372,373,372,376
235,387,387,388,386,386,381,380,377,378
236,386,385,383,380,375,375,377,376,378
237,385,385,383,380,374,372,373,372,376
238,386,386,388,386,386,381,380,377,378
239,386,385,383,380,375,375,377,376,378
240,386,385,383,380,374,372,373,372,376
241,387,387,388,387,386,381,380,377,378
242,386,385,384,381,376,376,377,376,378
243,386,385,383,380,374,372,373,373,376
244,387,387,388,386,386,380,379,376,378
245,386,385,384,381,376,376,377,376,378
246,385,385,383,379,374,372,373,372,376
247,386,386,388,386,385,380,379,376,378
248,386,385,384,381,376,376,377,376,378
249,385,385,383,379,374,372,373,372,376
250,387,387,388,386,385,380,379,376,377
251,386,385,384,381,377,376,377,376,378
252,385,384,382,379,373,371,372,372,376
253,386,386,388,386,385,380,379,376,377
254,386,385,384,381,377,376,377,376,378
255,385,384,382,379,372,371,372,372,376
256,386,386,388,386,385,380,378,376,377
257,386,385,384,381,377,376,378,376,378
258,385,384,382,379,372,371,372,372,376
259,386,386,387,386,385,379,378,375,377
260,386,385,384,381,377,376,378,376,378
261,385,384,382,378,372,371,372,372,376
262,386,386,388,386,385,380,378,376,377
263,386,385,384,382,378,377,378,377,378
264,385,384,382,378,372,371,372,372,376
265,387,387,388,386,385,380,378,376,377
266,386,385,385,382,378,377,378,377,378
267,385,384,382,378,372,371,373,372,376
268,387,387,388,386,385,379,378,376,377
269,387,386,385,383,379,378,379,377,379
270,386,385,382,379,372,371,373,372,376
271,387,387,388,386,385,380,378,376,377
272,387,386,385,383,380,378,379,377,379
273,386,385,382,379,372,371,373,373,377
274,387,387,388,386,385,379,378,376,377
275,387,386,386,383,380,379,379,378,379
276,386,385,382,379,372,371,373,373,377
277,387,387,388,386,385,379,378,375,377
278,387,386,386,384,381,379,380,378,379
279,386,385,382,379,372,371,373,373,377
280,387,387,388,386,385,379,378,375,377
281,387,386,386,384,381,379,380,378,379
282,386,385,382,379,372,371,373,373,377
283,387,387,388,386,384,379,378,375,377
284,387,386,386,384,382,379,380,378,379
285,386,385,382,379,372,371,373,373,377
286,387,387,388,386,384,379,378,375,377
287,387,386,386,384,382,380,380,378,379
288,386,385,382,379,372,371,373,373,377
289,386,387,387,385,384,378,377,375,377
290,387,386,386,384,382,380,380,378,379
291,386,385,382,379,372,371,373,373,377
292,386,386,387,385,383,378,377,375,377
293,386,386,386,384,382,380,380,378,379
294,386,385,382,379,372,372,374,373,377
295,386,386,387,385,383,378,377,375,377
296,386,386,386,385,383,380,380,378,379
297,386,385,382,379,372,372,374,374,377
298,387,387,387,385,383,378,377,375,377
299,387,387,387,385,383,380,380,378,379
300,386,385,382,379,373,372,374,374,377
301,387,386,387,385,382,378,377,375,377
302,387,387,387,386,384,381,381,378,379
303,386,385,382,379,373,372,374,374,377
304,386,386,387,384,382,377,376,374,377
305,387,386,387,385,384,380,380,378,378
306,386,385,382,379,373,372,374,374,377
307,386,386,386,384,382,377,376,374,376
308,387,386,387,385,384,381,380,378,379
309,386,385,382,379,373,373,375,374,378
310,387,387,387,384,382,377,376,374,377
311,387,387,388,386,385,381,381,378,379
312,386,385,382,379,373,373,375,374,378
313,386,386,386,384,381,377,376,374,377
314,387,387,388,386,385,381,381,378,379
315,386,385,382,379,373,373,375,375,378
316,386,386,386,384,381,376,375,374,377
317,387,387,388,386,385,381,380,378,378
318,386,385,382,379,373,373,375,374,377
319,386,386,386,383,380,376,375,373,376
320,387,387,388,386,386,382,381,378,379
321,386,385,382,379,373,373,375,375,378
322,386,386,386,383,380,375,375,373,376
323,387,387,388,387,386,381,380,378,378
324,386,385,382,379,373,373,375,375,378
325,386,386,385,383,379,375,375,374,376
326,387,387,388,387,386,382,381,378,379
327,386,385,382,379,373,373,375,375,378
328,386,386,385,383,379,375,374,373,376
329,387,387,389,387,386,382,381,378,378
330,386,385,383,380,374,374,376,375,378
331,386,386,385,383,379,375,375,373,376
332,387,387,388,387,387,382,381,378,379
333,386,385,383,379,373,373,375,375,378
334,386,386,385,382,378,374,374,373,376
335,387,387,389,387,387,382,381,378,379
336,386,385,383,379,373,374,376,375,378
337,386,385,384,382,377,374,374,373,376
338,387,387,389,387,386,382,381,378,379
339,386,385,383,380,374,374,376,375,378
340,386,385,384,381,376,373,374,373,376
341,387,387,388,387,386,382,380,378,378
342,386,385,383,380,374,374,376,375,378
343,385,385,384,381,376,373,374,373,376
344,387,387,388,387,386,382,380,378,378
345,386,385,383,380,374,374,376,375,378
346,386,385,384,381,376,373,373,372,376
347,387,387,388,387,386,382,380,377,378
348,386,385,383,380,374,374,376,375,378
349,386,385,384,381,375,372,373,372,376
350,386,387,388,387,386,381,380,377,378
351,386,385,383,380,375,375,377,376,378
352,385,385,383,380,375,372,373,372,376
353,386,386,388,386,386,381,380,377,378
354,386,385,383,380,375,374,376,375,378
355,385,385,383,380,374,372,373,372,376
356,386,386,388,386,385,380,379,376,377
357,386,385,383,380,375,375,376,375,378
358,385,385,383,380,374,372,373,372,376
359,387,387,388,386,386,381,380,377,378
360,386,385,383,381,376,375,377,376,378
361,385,385,383,380,374,372,373,372,376
362,387,387,388,386,386,381,379,377,378
363,386,385,383,381,376,375,377,376,378
364,386,385,383,380,374,372,373,372,376
365,387,387,388,386,386,380,379,376,378
366,386,385,384,381,376,375,377,376,378
367,385,385,383,379,373,371,372,372,376
368,386,386,388,386,385,380,379,376,377
369,386,385,384,381,376,376,377,376,378
370,385,385,383,379,373,372,373,373,376
371,387,387,388,386,385,380,379,376,378
372,387,386,384,382,377,377,378,377,379
373,386,385,383,380,374,372,373,373,377
374,387,387,389,387,386,381,380,377,378
375,386,385,384,382,377,377,378,377,379
376,386,385,383,379,373,372,373,373,377
377,387,387,388,386,385,380,379,376,378
378,386,385,384,382,378,377,378,377,379
379,386,385,383,379,373,372,373,373,377
380,387,387,388,386,385,380,379,376,378
381,386,385,384,382,378,377,378,377,379
382,385,384,382,379,373,371,372,372,376
383,386,386,388,386,385,380,378,376,377
384,386,385,384,382,378,377,378,376,378
385,385,384,382,378,372,371,372,372,376
386,386,386,388,386,385,379,378,375,377
387,386,385,384,382,378,377,378,376,378
388,385,384,382,378,372,371,372,372,376
389,386,386,388,386,385,379,378,376,377
