mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135,result
387,387,389,387,387,382,381,379,379,1
386,385,383,380,374,374,376,375,378,1
386,386,385,382,378,375,375,373,377,1
387,387,389,387,386,382,381,378,379,1
386,385,383,380,374,374,376,375,378,1
386,386,385,382,378,375,375,374,377,1
387,387,388,387,386,381,380,378,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,377,374,374,373,376,1
386,386,387,385,385,380,379,377,378,1
386,384,382,379,373,373,375,374,377,1
386,385,384,381,377,373,374,373,376,1
387,387,388,386,386,381,380,377,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,376,373,374,373,376,1
386,386,388,386,385,381,380,377,378,1
386,385,383,380,374,374,376,375,378,1
386,386,384,381,376,374,374,373,376,1
387,387,388,386,386,381,380,377,378,1
386,385,383,380,375,374,376,375,378,1
386,385,384,381,376,374,374,373,376,1
387,387,389,387,386,381,380,378,378,1
386,385,383,380,375,375,376,376,378,1
386,385,384,381,375,373,373,373,376,1
387,387,388,386,386,380,379,377,378,1
386,385,383,380,375,375,376,375,378,1
386,385,383,380,375,373,373,373,376,1
